Number,ID,Description
33452,202308/3b3b24e6-8c4f-4fff-9178-aee598b413f4,"The Reveos ® SELECT set is intended to collect a unit of whole blood and to process the whole blood unit on the Reveos Automated Blood Processing System, producing blood components. Rx only."
19012,202203/d92a72eb-7139-71ae-e053-2a95a90a938d,Morphine Sulfate Oral Solution 2 mg/mL and 4 mg/mL is indicated for the management of: adults with acute and chronic pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. Morphine Sulfate Oral Solution 20 mg/mL is indicated for the relief of acute and chronic pain in opioid-tolerant adult patients .
20405,202206/e271574d-49f1-bde0-e053-2995a90a64f5,"Carbidopa and levodopa tablets are indicated in the treatment of Parkinsons disease, post-encephalitic parkinsonism, and symptomatic parkinsonism that may follow carbon monoxide intoxication or manganese intoxication. Carbidopa allows patients treated for Parkinsons disease to use much lower doses of levodopa. Some patients who responded poorly to levodopa have improved on carbidopa and levodopa. This is most likely due to decreased peripheral decarboxylation of levodopa caused by administration of carbidopa rather than by a primary effect of carbidopa on the nervous system. Carbidopa has not been shown to enhance the intrinsic efficacy of levodopa. Carbidopa may also reduce nausea and vomiting and permit more rapid titration of levodopa."
3923,201302/3f8c45b5-fd8c-41b5-acc9-efaa7c846733,"Rizatriptan benzoate orally disintegrating tablets are indicated for the acute treatment of migraine with or without aura in adults and in pediatric patients 6 to 17 years old. Information related to usage of rizatriptan benzoate in pediatric patients (6 to 17 years old) is approved for Merck &amp; Co., Inc.’s Rizatriptan Benzoate Orally Disintegrating Tablets. However, due to Merck &amp; Co., Inc.’s marketing exclusivity rights, this drug product is not labeled with that pediatric patient (6 to 17 years old) usage information. Limitations of Use: Rizatriptan benzoate orally disintegrating tablets should only be used where a clear diagnosis of migraine has been established. If a patient has no response for the first migraine attack treated with rizatriptan benzoate orally disintegrating tablets, the diagnosis of migraine should be reconsidered before rizatriptan benzoate orally disintegrating tablets are administered to treat any subsequent attacks. Rizatriptan benzoate orally disintegrating tablets are not indicated for use in the management of hemiplegic or basilar migraine [see Contraindications (4) ] . Rizatriptan benzoate orally disintegrating tablets are not indicated for the prevention of migraine attacks. Safety and effectiveness of rizatriptan benzoate orally disintegrating tablets have not been established for cluster headache."
10346,201911/7dc029c3-3797-4bd7-b075-a0a5dd68aa0b,"Phentermine hydrochloride tablets are indicated as a short-term (a few weeks) adjunct in a regimen of weight reduction based on exercise, behavioral modification and caloric restriction in the management of exogenous obesity for patients with an initial body mass index ≥ 30 kg/m 2 , or ≥ 27 kg/m 2 in the presence of other risk factors (e.g., controlled hypertension, diabetes, hyperlipidemia). Below is a chart of body mass index (BMI) based on various heights and weights. BMI is calculated by taking the patient’s weight, in kilograms (kg), divided by the patient’s height, in meters (m), squared. Metric conversions are as follows: pounds ÷ 2.2 = kg; inches x 0.0254 = meters.  BODY MASS INDEX (BMI), kg/m 2 Height (feet, inches) Weight (pounds) 50 53 56 59 60 63 140 27  25  23 21 19 18 150 29 27 24 22 20 19 160 31 28 26 24 22 20 170 33 30 28 25 23 21 180 35 32 29 27 25 23 190 37 34 31 28 26 24 200 39 36 32 30 27 25 210 41 37 34 31 29 26 220 43 39 36 33 30 28 230 45 41 37 34 31 29 240 47 43 39 36 33 30 250 49 44 40 37 34 31 The limited usefulness of agents of this class, including phentermine, [see Clinical Pharmacology ( 12.1 , 12.2 ) ] should be measured against possible risk factors inherent in their use such as those described below."
17519,202201/d501dcd9-2c80-c860-e053-2a95a90a2062,"Tadalafil is a phosphodiesterase 5 (PDE5) inhibitor indicated for the treatment of:  erectile dysfunction (ED) ( 1.1 ) the signs and symptoms of benign prostatic hyperplasia (BPH) ( 1.2 ) ED and the signs and symptoms of BPH (ED/BPH) ( 1.3 ) If tadalafil is used with finasteride to initiate BPH treatment, such use is recommended for up to 26 weeks ( 1.4 )."
32546,202308/23850912-f440-4aa8-991e-6523b8a13ef1,"Spironolactone, an ingredient of spironolactone and hydrochlorothiazide tablets, has been shown to be a tumorigen in chronic toxicity studies in rats (see Precautions section). Spironolactone and hydrochlorothiazide tablets should be used only in those conditions described below. Unnecessary use of this drug should be avoided. Spironolactone and hydrochlorothiazide tablets are indicated for: Edematous conditions for patients with:"
13572,202101/2680eafe-f0cd-481e-830f-51b249135bdd,Celecoxib Capsule is a non-steroidal anti-inflammatory drug indicated for: • Osteoarthritis (OA) ( 1.1 ) • Rheumatoid Arthritis (RA) ( 1.2 ) • Juvenile Rheumatoid Arthritis (JRA) in patients 2 years and older ( 1.3 ) • Ankylosing Spondylitis (AS) ( 1.4 ) • Acute Pain (AP) ( 1.5 ) • Primary Dysmenorrhea (PD) ( 1.6 )
34965,202309/066f2213-b35d-e2ae-e063-6394a90aab42,"Risperidone is an atypical antipsychotic indicated for: Treatment of schizophrenia ( 1.1 ) As monotherapy or adjunctive therapy with lithium or valproate, for the treatment of acute manic or mixed episodes associated with Bipolar I Disorder ( 1.2 ) Treatment of irritability associated with autistic disorder ( 1.3 )"
34957,202309/066bb8b2-07a7-3970-e063-6294a90a4797,Albuterol sulfate inhalation aerosol is indicated in adults and children 4 years of age and older for the treatment or prevention of bronchospasm with reversible obstructive airway disease and for the prevention of exercise-induced bronchospasm.
31412,202307/ffd2f3f5-c7c9-0028-e053-6394a90aaf17,"1.1 Heart Failure Spironolactone is indicated for treatment of NYHA Class III-IV heart failure and reduced ejection fraction to increase survival, manage edema, and reduce the need for hospitalization for heart failure. Spironolactone is usually administered in conjunction with other heart failure therapies. 1.2 Hypertension Spironolactone is indicated as add-on therapy for the treatment of hypertension, to lower blood pressure in patients who are not adequately controlled on other agents. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program’s Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy. 1.3 Edema Associated with Hepatic Cirrhosis or Nephrotic Syndrome Spironolactone is indicated for the management of edema in the following settings: Cirrhosis of the liver when edema is not responsive to fluid and sodium restriction. Nephrotic syndrome when treatment of the underlying disease, restriction of fluid and sodium intake, and the use of other diuretics produce an inadequate response. Because it increases serum potassium, spironolactone may be useful for treating edema when administration of other diuretics has caused hypokalemia. 1.4 Primary Hyperaldosteronism Spironolactone is indicated in the following settings: Short-term preoperative treatment of patients with primary hyperaldosteronism. Long-term maintenance therapy for patients with discrete aldosterone-producing adrenal adenomas who are not candidates for surgery. Long-term maintenance therapy for patients with bilateral micro or macronodular adrenal hyperplasia (idiopathic hyperaldosteronism)."
30949,202306/feba81e6-55c3-b43d-e053-6294a90abf41,"Prazosin hydrochloride capsules are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes, including this drug. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program’s Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy. Prazosin hydrochloride capsules can be used alone or in combination with other antihypertensive drugs such as diuretics or beta-adrenergic blocking agents."
26945,202303/f6cc658e-da1d-5b4c-e053-6294a90a8532,"Cefuroxime axetil tablet is a cephalosporin antibacterial drug indicated for the treatment of the following infections due to susceptible bacteria: (1)   Pharyngitis/tonsillitis (adults and pediatric patients) ( 1.1 ) Acute bacterial otitis media (pediatric patients) ( 1.2 ) Acute bacterial maxillary sinusitis (adults and pediatric patients) ( 1.3 ) Acute bacterial exacerbations of chronic bronchitis (adults and pediatric patients 13 years and older) ( 1.4 ) Uncomplicated skin and skin-structure infections (adults and pediatric patients 13 years and older) ( 1.5 ) Uncomplicated urinary tract infections (adults and pediatric patients 13 years and older) ( 1.6 ) Uncomplicated gonorrhea (adults and pediatric patients 13 years and older) ( 1.7 ) Early Lyme disease (adults and pediatric patients 13 years and older) ( 1.8 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of cefuroxime axetil and other antibacterial drugs, cefuroxime axetil should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria."
9424,201905/87c2db5d-84e7-1f1e-e053-2a95a90aba62,Carefully consider the potential benefits and risks of Ibuprofentablets and other treatment options before deciding to use Ibuprofen.Use the lowest effective dose for the shortest duration consistent withindividual patient treatment goals (see WARNINGS). IBU tablets are indicated for relief of the signs and symptoms of rheumatoid arthritis and osteoarthritis. IBU tablets are indicated for relief of mild to moderate pain. IBU tablets are also indicated for the treatment of primary dysmenorrhea. Controlled clinical trials to establish the safety and effectiveness of IBU tablets in children have not been conducted.
30180,202306/88243632-5385-40a9-9e80-77ba3a7c7b72,"Metoprolol succinate, is a beta-adrenergic blocker indicated for the treatment of:   Hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. (1.1) Angina Pectoris. (1.2) Heart Failure, to reduce the risk of cardiovascular mortality and heart failure hospitalizations in patients with heart failure (1.3)"
29714,202305/6547b308-3f64-47d8-bbd7-b6ec447ba1d6,ELELYSO is indicated for the treatment of patients 4 years of age and older with a confirmed diagnosis of Type 1 Gaucher disease.
10741,201912/99342793-1dda-45c5-9a39-b9e5ae8137ca,Nystatin and Triamcinolone Acetonide Ointment are indicated for the treatment of cutaneous candidiasis; it has been demonstrated that the nystatin-steroid combination provides greater benefit than the nystatin component alone during the first few days of treatment.
6564,201609/c7c19978-abae-41e9-bc98-be537cb66676,"Tramadol hydrochloride tablets, USP are indicated for the management of moderate to moderately severe pain in adults."
1699,201101/3d6a40a1-b103-4636-b143-6119ff16803a,"Clindamycin Injection, USP is indicated in the treatment of serious infections caused by susceptible anaerobic bacteria. Clindamycin Injection, USP is also indicated in the treatment of serious infections due to susceptible strains of streptococci, pneumococci, and staphylococci. Its use should be reserved for penicillin-allergic patients or other patients for whom, in the judgment of the physician, a penicillin is inappropriate. Because of the risk of antibiotic-associated pseudomembranous colitis, as described in the WARNING box, before selecting clindamycin the physician should consider the nature of the infection and the suitability of less toxic alternatives (e.g., erythromycin). Bacteriologic studies should be performed to determine the causative organisms and their susceptibility to clindamycin. Indicated surgical procedures should be performed in conjunction with antibiotic therapy. Clindamycin Injection, USP is indicated in the treatment of serious infections caused by susceptible strains of the designated organisms in the conditions listed below: Lower respiratory tract infections including pneumonia, empyema, and lung abscess caused by anaerobes, Streptococcus pneumoniae , other streptococci (except E. faecalis ), and Staphylococcus aureus . Skin and skin structure infections caused by Streptococcus pyogenes , Staphylococcus aureus , and anaerobes. Gynecological infections including endometritis, nongonococcal tubo-ovarian abscess, pelvic cellulitis, and postsurgical vaginal cuff infection caused by susceptible anaerobes. Intra-abdominal infections including peritonitis and intra-abdominal abscess caused by susceptible anaerobic organisms. Septicemia caused by Staphylococcus aureus , streptococci (except Enterococcus faecalis ), and susceptible anaerobes. Bone and joint infections including acute hematogenous osteomyelitis caused by Staphylococcus aureus and as adjunctive therapy in the surgical treatment of chronic bone and joint infections due to susceptible organisms. To reduce the development of drug-resistant bacteria and maintain the effectiveness of clindamycin and other antibacterial drugs, clindamycin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
42064,202401/0e77340b-3417-fe13-e063-6294a90a0301,Metformin hydrochloride extended-release tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.
3286,201204/0d53972c-6fe3-4607-9fcd-c0acffb05565,"Morphine sulfate extended-release tablets are an extended-release oral formulation of morphine sulfate indicated for the management of moderate to severe pain when a continuous, around-the-clock opioid analgesic is needed for an extended period of time. Morphine sulfate extended-release tablets are NOT intended for use as a prn analgesic. The morphine sulfate extended-release tablets 100 mg and 200 mg strengths are high dose, extended-release, oral morphine formulations indicated for the relief of pain in opioid-tolerant patients only. Morphine sulfate extended-release tablets are not indicated for pain in the immediate postoperative period (the first 12 to 24 hours following surgery) for patients not previously taking the drug, because its safety in this setting has not been established. Morphine sulfate extended-release tablets are not indicated for pain in the postoperative period if the pain is mild, or not expected to persist for an extended period of time. Morphine sulfate extended-release tablets are only indicated for postoperative use if the patient is already receiving the drug prior to surgery or if the postoperative pain is expected to be moderate to severe and persist for an extended period of time. Physicians should individualize treatment, moving from parenteral to oral analgesics as appropriate. (See American Pain Society guidelines.)"
21595,202209/a29f2c12-6cec-44ec-898e-cf79dafabb55,"Sildenafil tablets are indicated for the treatment of pulmonary arterial hypertension (WHO Group I) in adults to improve exercise ability and delay clinical worsening. The delay in clinical worsening was demonstrated when sildenafil tablets were added to background epoprostenol therapy [ see Clinical Studies (14) ]. Studies establishing effectiveness were short-term (12 to 16 weeks), and included predominately patients with New York Heart Association (NYHA) Functional Class II-III symptoms and idiopathic etiology (71%) or associated with connective tissue disease (CTD) (25%). Limitation of Use: Adding sildenafil to bosentan therapy does not result in any beneficial effect on exercise capacity [ see Clinical Studies ( 14 ) ]."
1885,201104/caef8a69-1e3e-4ee2-81e8-d6f5e8ec5f74,"Metoprolol tartrate injection and tablets are indicated in the treatment of hemodynamically stable patients with definite or suspected acute myocardial infarction to reduce cardiovascular mortality. Treatment with intravenous metoprolol tartrate can be initiated as soon as the patients clinical condition allows (see DOSAGE AND ADMINISTRATION , CONTRAINDICATIONS , and WARNINGS ). Alternatively, treatment can begin within 3 to 10 days of the acute event (see DOSAGE AND ADMINISTRATION )."
34690,202309/4c3deb65-33fd-47b7-b18a-393255ad1a79,"Spironolactone is an aldosterone antagonist indicated for: • The treatment of NYHA Class III–IV heart failure and reduced ejection fraction to increase survival, manage edema, and to reduce the need for hospitalization for heart failure ( 1.1 ). • Use as an add-on therapy for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions ( 1.2 ). • The management of edema in adult patients who are cirrhotic when edema is not responsive to fluid and sodium restrictions and in the setting of nephrotic syndrome when treatment of the underlying disease, restriction of fluid and sodium intake, and the use of other diuretics produce an inadequate response ( 1.3 ). • Treatment of primary hyperaldosternism for: ( 1.4 ) • Short-term preoperative treatment • Long-term maintenance for patients with discrete aldosterone-producing adrenal adenomas who are not candidates for surgery and patients with bilateral micro or macronodular adrenal hyperplasia"
10235,201911/9700d830-6f75-d9c6-e053-2a95a90ab4f9,"Gabapentin tablets USP are indicated for: Management of postherpetic neuralgia in adults Adjunctive therapy in the treatment of partial onset seizures, with and without secondary generalization, in adults and pediatric patients 3 years and older with epilepsy"
19123,202203/a90a9fa9-dc93-4e87-94fa-e578918ccfce,Neostigmine methylsulfate injection is a cholinesterase inhibitor indicated for the reversal of the effects of non-depolarizing neuromuscular blocking agents after surgery. 
26323,202303/f331dc6c-32cf-05f1-e053-2a95a90a56bb,"Tizanidine Tablets, USP is a central alpha-2-adrenergic agonist indicated for the management of spasticity. Because of the short duration of therapeutic effect, treatment with Tizanidine Tablets, USP should be reserved for those daily activities and times when relief of spasticity is most important [see Dosage and Administration(2.1) ]."
6773,201701/46efec4f-f86d-0534-e054-00144ff88e88,"Benzphetamine hydrochloride tablets are indicated in the management of exogenous obesity as a short term (a few weeks) adjunct in a regimen of weight reduction based on caloric restriction in patients with an initial body mass index (BMI) of 30 kg/m2 or higher who have not responded to appropriate weight reducing regimen (diet and/or exercise) alone. Below is a chart of Body Mass Index (BMI) based on various heights and weights. BMI is calculated by taking the patient’s weight, in kilograms (kg), divided by the patient’s height, in meters (m), squared. Metric conversions are as follows: pounds ÷ 2.2 = kg; inches × 0.0254 = meters. The limited usefulness of agents of this class (See CLINICAL PHARMACOLOGY ) should be weighed against possible risks inherent in their use such as those described below. Benzphetamine hydrochloride tablets are indicated for use as monotherapy only."
7318,201709/5a46243e-cff9-9a5c-e053-2a91aa0ab365,Divalproex sodium is an anti-epileptic drug indicated for: Treatment of manic episodes associated with bipolar disorder (1.1) Monotherapy and adjunctive therapy of complex partial seizures and simple and complex absence seizures; adjunctive therapy in patients with multiple seizure types that include absence seizures (1.2) Prophylaxis of migraine headaches (1.3)
31515,202307/590750e6-33b4-4c08-be30-7cb0ca2b4c63,Hydrocodone Bitartrate and Acetaminophen Tablets are indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate.
9489,201906/4ec709ca-2d2d-4c23-98d3-5c0d95f9a208,"Cyclobenzaprine hydrochloride tablets, USP are indicated as an adjunct to rest and physical therapy for relief of muscle spasm associated with acute, painful musculoskeletal conditions. Improvement is manifested by relief of muscle spasm and its associated signs and symptoms, namely, pain, tenderness, limitation of motion, and restriction in activities of daily living. Cyclobenzaprine hydrochloride tablets should be used only for short periods (up to 2 or 3 weeks) because adequate evidence of effectiveness for more prolonged use is not available and because muscle spasm associated with acute, painful musculoskeletal conditions is generally of short duration and specific therapy for longer periods is seldom warranted. Cyclobenzaprine hydrochloride tablets have not been found effective in the treatment of spasticity associated with cerebral or spinal cord disease, or in children with cerebral palsy."
9683,201908/8f22f1e4-15f0-734a-e053-2995a90a3391,"Pregabalin capsules are indicated for: • Management of neuropathic pain associated with diabetic peripheral neuropathy • Management of postherpetic neuralgia • Adjunctive therapy for the treatment of partial-onset seizures in patients 17 years of age and older • Management of fibromyalgia • Management of neuropathic pain associated with spinal cord injury Pediatric use information is approved for Pfizer’s LYRICA (pregabalin) Capsules and Oral Solution products. However, due to Pfizer’s marketing exclusivity rights, this drug product is not labeled with that pediatric information."
33827,202309/4da7fe70-bb28-43f2-97b6-66d130e6c72f,"Venlafaxine tablets, USP are indicated for the treatment of major depressive disorder. The efficacy of venlafaxine tablets, USP in the treatment of major depressive disorder was established in 6-week controlled trials of adult outpatients whose diagnoses corresponded most closely to the DSM-III or DSM-III-R category of major depression and in a 4-week controlled trial of inpatients meeting diagnostic criteria for major depression with melancholia (see CLINICAL TRIALS ). A major depressive episode implies a prominent and relatively persistent depressed or dysphoric mood that usually interferes with daily functioning (nearly every day for at least 2 weeks); it should include at least 4 of the following 8 symptoms: change in appetite, change in sleep, psychomotor agitation or retardation, loss of interest in usual activities or decrease in sexual drive, increased fatigue, feelings of guilt or worthlessness, slowed thinking or impaired concentration, and a suicide attempt or suicidal ideation. The efficacy of venlafaxine hydrochloride extended-release capsules in maintaining an antidepressant response for up to 26 weeks following 8 weeks of acute treatment was demonstrated in a placebo-controlled trial. The efficacy of venlafaxine tablets, USP in maintaining an antidepressant response in patients with recurrent depression who had responded and continued to be improved during an initial 26 weeks of treatment and were then followed for a period of up to 52 weeks was demonstrated in a second placebo-controlled trial (see CLINICAL TRIALS ). Nevertheless, the physician who elects to use venlafaxine tablets, USP/venlafaxine hydrochloride extended-release capsules for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient."
37076,202311/8ef25342-8c24-4bd2-a503-1d6072b4985c,"Tadalafil is a phosphodiesterase 5 (PDE5) inhibitor indicated for the treatment of:  erectile dysfunction (ED) ( 1.1 ) the signs and symptoms of benign prostatic hyperplasia (BPH) ( 1.2 ) ED and the signs and symptoms of BPH (ED/BPH) ( 1.3 ) If tadalafil is used with finasteride to initiate BPH treatment, such use is recommended for up to 26 weeks ( 1.4 )."
27343,202303/21251452-e7c5-4d25-a922-189ba8740d6c,"Donepezil Hydrochloride tablets are indicated for the treatment of dementia of the Alzheimer’s type. Efficacy has been demonstrated in patients with mild, moderate, and severe Alzheimer’s disease."
37038,202311/09198209-ed1a-8196-e063-6294a90a3268,"Famotidine for oral suspension is indicated in adults for the treatment of: active duodenal ulcer (DU). active gastric ulcer (GU). symptomatic nonerosive gastroesophageal reflux disease (GERD). erosive esophagitis due to GERD, diagnosed by biopsy. treatment of pathological hypersecretory conditions (e.g., Zollinger-Ellison syndrome, multiple endocrine neoplasias). reduction of the risk of duodenal ulcer recurrence. Famotidine for oral suspension is indicated in pediatric patients 1 year of age and older for the treatment of: peptic ulcer disease. GERD with or without esophagitis and ulcerations. Famotidine for oral suspension is indicated in pediatric patients from birth to less than 1 year of age for the treatment of: GERD."
42731,202401/cc125ed9-1ac8-491e-8eba-bd55426fc825,DIFFERIN Gel is indicated for the topical treatment of acne vulgaris in patients 12 years of age and older.
14975,202103/fa7941bf-39bf-46c7-ae0a-ff912434cef6,"Diclofenac sodium topical gel, 1% is indicated for the relief of the pain of osteoarthritis of joints amenable to topical treatment, such as the knees and those of the hands. Diclofenac sodium topical gel, 1% has not been evaluated for use on the spine, hip, or shoulder."
14833,202102/bbf26437-c9b5-d8e6-e053-2a95a90a0062,"Clotrimazole and betamethasone dipropionate cream is a combination of an azole antifungal and corticosteroid and is indicated for the topical treatment of symptomatic inflammatory tinea pedis, tinea cruris, and tinea corporis due to Epidermophyton floccosum, Trichophyton mentagrophytes, and Trichophyton rubrum in patients 17 years and older."
16843,202110/d2ede941-e346-4fb1-9e7c-43d85a4592a3,Topical corticosteroids are indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.
6477,201608/8383cbdc-fff2-4340-a496-e86a69173503,"Diovan is an angiotensin II receptor blocker (ARB) indicated for: Treatment of hypertension , to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions ( 1.1 ) Treatment of heart failure (NYHA class II-IV); Diovan significantly reduced hospitalization for heart failure ( 1.2 ) Reduction of cardiovascular mortality in clinically stable patients with left ventricular failure or left ventricular dysfunction following myocardial infarction ( 1.3 )"
12374,202009/57209c15-d635-40bf-9d16-c664ddfc49a4,"Decitabine for injection is indicated for treatment of adult patients with myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups."
17265,202112/a168e3e4-6451-4439-913d-c88181932786,"Fluoxetine is a selective serotonin reuptake inhibitor indicated for: Acute and maintenance treatment of Major Depressive Disorder (MDD) in adult and pediatric patients aged 8 to 18 years (1.1) Acute and maintenance treatment of Obsessive Compulsive Disorder (OCD) in adults and pediatric patients aged 7 to 17 years (1.2) Acute and maintenance treatment of Bulimia Nervosa in adult patients (1.3) Acute treatment of Panic Disorder, with or without agoraphobia, in adult patients (1.4) Indication Adult Pediatric  MDD (2.1)  20 mg/day in am (initial dose)  10 to 20 mg/day (initial dose)  OCD (2.2)  20 mg/day in am (initial dose)  10 mg/day (initial dose)  Bulimia Nervosa (2.3)  60 mg/day in am  Panic Disorder (2.4)  10 mg/day (initial dose) A lower or less frequent dosage should be used in patients with hepatic impairment, the elderly, and for patients with concurrent disease or on multiple concomitant medications (2.7)"
41795,202401/0e75f143-c795-4323-e063-6294a90a9cdb,"CitraNatal Harmony ® is a multivitamin/mineral prescription drug indicated for use in improving the nutritional status of women prior to conception, throughout pregnancy, and in the postnatal period for both lactating and nonlactating mothers."
11696,202003/a9b56482-cd32-4e0d-89bb-855345e378e0,"Oxycodone Hydrochloride Oral Solution is indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. Limitations of Use Because of the risks of addiction, abuse, and misuse with opioids, even at recommended doses [see Warnings and Precautions ( 5.2 ) ], reserve Oxycodone Hydrochloride Oral Solution for use in patients for whom alternative treatment options [e.g., non-opioid analgesics or opioid combination products]: • Have not been tolerated, or are not expected to be tolerated, • Have not provided adequate analgesia, or are not expected to provide adequate analgesia"
25054,202302/a110631a-5292-4e76-b1c3-3730fda219ee,"Calcitriol capsules are indicated in the management of secondary hyperparathyroidism and resultant metabolic bone disease in patients with moderate to severe chronic renal failure (Ccr 15 to 55 mL/min) not yet on dialysis. In children, the creatinine clearance value must be corrected for a surface area of 1.73 square meters. A serum iPTH level of ≥ 100 pg/mL is strongly suggestive of secondary hyperparathyroidism."
43764,202401/0ff8e2fb-b791-dd77-e063-6294a90ab4ea,"Heparin sodium is indicated for: Prophylaxis and treatment of venous thromboembolism and pulmonary embolism; Atrial fibrillation with embolization; Treatment of acute and chronic consumptive coagulopathies (disseminated intravascular coagulation); Prevention of clotting in arterial and cardiac surgery; Prophylaxis and treatment of peripheral arterial embolism; Anticoagulant use in blood transfusions, extracorporeal circulation, and dialysis procedures."
40867,202312/d85013c6-896b-4d20-976c-3a583ab4ba7c,Diclofenac sodium topical solution is a nonsteroidal anti-inflammatory drug indicated for the treatment of signs and symptoms of osteoarthritis of the knee(s). ( 1 )
